"LibraryCode"	"LibraryBarcode"	"reads_unclassified"	"FlowCellSerial"	"protocol_group_id"	"SeqRunID"	"SeqDate"	"SeqDateTime"
"hdz6"	24	28	"AVI490"	"HDZ-PL-006"	"PL006"	2024-07-18	2024-07-18 20:35:26.690098
"hdz7"	1	12014	"AVH171"	"HDZ-PL-007"	"PL007"	2024-07-22	2024-07-22 23:13:57.01656
"hdz7"	2	12808	"AVH171"	"HDZ-PL-007"	"PL007"	2024-07-22	2024-07-22 23:13:57.01656
"hdz7"	3	13623	"AVH171"	"HDZ-PL-007"	"PL007"	2024-07-22	2024-07-22 23:13:57.01656
"hdz7"	4	12647	"AVH171"	"HDZ-PL-007"	"PL007"	2024-07-22	2024-07-22 23:13:57.01656
"hdz7"	5	7088	"AVH171"	"HDZ-PL-007"	"PL007"	2024-07-22	2024-07-22 23:13:57.01656
"hdz7"	6	8170	"AVH171"	"HDZ-PL-007"	"PL007"	2024-07-22	2024-07-22 23:13:57.01656
"hdz7"	7	9272	"AVH171"	"HDZ-PL-007"	"PL007"	2024-07-22	2024-07-22 23:13:57.01656
"hdz7"	8	12575	"AVH171"	"HDZ-PL-007"	"PL007"	2024-07-22	2024-07-22 23:13:57.01656
"hdz7"	9	13147	"AVH171"	"HDZ-PL-007"	"PL007"	2024-07-22	2024-07-22 23:13:57.01656
"hdz7"	10	8759	"AVH171"	"HDZ-PL-007"	"PL007"	2024-07-22	2024-07-22 23:13:57.01656
"hdz7"	11	15273	"AVH171"	"HDZ-PL-007"	"PL007"	2024-07-22	2024-07-22 23:13:57.01656
"hdz7"	12	15232	"AVH171"	"HDZ-PL-007"	"PL007"	2024-07-22	2024-07-22 23:13:57.01656
"hdz7"	13	13075	"AVH171"	"HDZ-PL-007"	"PL007"	2024-07-22	2024-07-22 23:13:57.01656
"hdz7"	14	10730	"AVH171"	"HDZ-PL-007"	"PL007"	2024-07-22	2024-07-22 23:13:57.01656
"hdz7"	15	9326	"AVH171"	"HDZ-PL-007"	"PL007"	2024-07-22	2024-07-22 23:13:57.01656
"hdz7"	16	9746	"AVH171"	"HDZ-PL-007"	"PL007"	2024-07-22	2024-07-22 23:13:57.01656
"hdz7"	17	12238	"AVH171"	"HDZ-PL-007"	"PL007"	2024-07-22	2024-07-22 23:13:57.01656
"hdz7"	18	10328	"AVH171"	"HDZ-PL-007"	"PL007"	2024-07-22	2024-07-22 23:13:57.01656
"hdz7"	19	10207	"AVH171"	"HDZ-PL-007"	"PL007"	2024-07-22	2024-07-22 23:13:57.01656
"hdz7"	20	8224	"AVH171"	"HDZ-PL-007"	"PL007"	2024-07-22	2024-07-22 23:13:57.01656
"hdz7"	21	4067	"AVH171"	"HDZ-PL-007"	"PL007"	2024-07-22	2024-07-22 23:13:57.01656
"hdz7"	22	9828	"AVH171"	"HDZ-PL-007"	"PL007"	2024-07-22	2024-07-22 23:13:57.01656
"hdz7"	23	8907	"AVH171"	"HDZ-PL-007"	"PL007"	2024-07-22	2024-07-22 23:13:57.01656
"hdz7"	24	29	"AVH171"	"HDZ-PL-007"	"PL007"	2024-07-22	2024-07-22 23:13:57.01656
"hdz8"	1	12560	"AVP307"	"PL8-9"	"PL008"	2024-08-16	2024-08-16 18:56:41.11048
"hdz8"	2	11554	"AVP307"	"PL8-9"	"PL008"	2024-08-16	2024-08-16 18:56:41.11048
"hdz8"	3	12075	"AVP307"	"PL8-9"	"PL008"	2024-08-16	2024-08-16 18:56:41.11048
"hdz8"	4	13517	"AVP307"	"PL8-9"	"PL008"	2024-08-16	2024-08-16 18:56:41.11048
"hdz8"	5	7073	"AVP307"	"PL8-9"	"PL008"	2024-08-16	2024-08-16 18:56:41.11048
"hdz8"	6	12815	"AVP307"	"PL8-9"	"PL008"	2024-08-16	2024-08-16 18:56:41.11048
"hdz8"	7	10094	"AVP307"	"PL8-9"	"PL008"	2024-08-16	2024-08-16 18:56:41.11048
"hdz8"	8	11086	"AVP307"	"PL8-9"	"PL008"	2024-08-16	2024-08-16 18:56:41.11048
"hdz8"	9	9746	"AVP307"	"PL8-9"	"PL008"	2024-08-16	2024-08-16 18:56:41.11048
"hdz8"	10	7897	"AVP307"	"PL8-9"	"PL008"	2024-08-16	2024-08-16 18:56:41.11048
"hdz8"	11	3929	"AVP307"	"PL8-9"	"PL008"	2024-08-16	2024-08-16 18:56:41.11048
"hdz8"	12	10704	"AVP307"	"PL8-9"	"PL008"	2024-08-16	2024-08-16 18:56:41.11048
"hdz8"	13	14471	"AVP307"	"PL8-9"	"PL008"	2024-08-16	2024-08-16 18:56:41.11048
"hdz8"	14	7382	"AVP307"	"PL8-9"	"PL008"	2024-08-16	2024-08-16 18:56:41.11048
"hdz8"	15	12380	"AVP307"	"PL8-9"	"PL008"	2024-08-16	2024-08-16 18:56:41.11048
"hdz8"	16	12191	"AVP307"	"PL8-9"	"PL008"	2024-08-16	2024-08-16 18:56:41.11048
"hdz8"	17	10336	"AVP307"	"PL8-9"	"PL008"	2024-08-16	2024-08-16 18:56:41.11048
