tax	NTC1-CTRL	NWR-003-S1	NWR-032-S2	NWR-036-S3	NWR-089-S4	NWR-102-S5	NWR-103-S6	NWR-107-S7	NWR-108-S8	NWR-114-S9	NWR-115-S10	NWR-116-S11	NWR-117-S12	NWR-118-S13	NWR-119-S14	NWR-121-S23	NWR-122-S21	NWR-126-S17	NWR-127-S19	NWR-130-S18	NWR-151-S20	NWR-153-S22	NWR-154-S16	NWR-156-S15	total
Bacteria;Bacteria_none;Proteobacteria;Betaproteobacteria;Rhodocyclales;Zoogloeaceae;Azoarcus;Azoarcus taiwanensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	356	0	0	0	363
Bacteria;Bacteria_none;Firmicutes;Bacilli;Lactobacillales;Enterococcaceae;Enterococcus;Enterococcus larvae	0	0	0	0	0	0	0	4	0	0	8	0	0	6	0	6	0	28	0	56	0	0	0	245	353
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Enterobacterales;Pectobacteriaceae;Lonsdalea;Lonsdalea iberica	0	0	0	0	0	0	0	12	0	0	52	0	0	1	0	0	0	221	3	28	0	0	0	13	330
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Enterobacterales;Erwiniaceae;Izhakiella;Izhakiella capsodis	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	317	0	0	0	330
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Hominisplanchenecus;Hominisplanchenecus faecis	0	0	0	0	319	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	322
Bacteria;Bacteria_none;Firmicutes;Bacilli;Lactobacillales;Enterococcaceae;Enterococcus;Enterococcus moraviensis	0	0	0	0	0	0	0	0	0	0	11	0	0	5	12	0	0	265	0	1	0	0	0	18	312
Bacteria;Bacteria_none;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lacticaseibacillus;Lacticaseibacillus paracasei	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	0	0	0	0	0	274	310
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Lelliottia;Lelliottia aquatilis	0	14	0	0	0	0	284	1	0	5	0	0	0	1	0	0	0	3	0	0	1	0	0	0	309
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Anaerosacchariphilus;Anaerosacchariphilus polymeriproducens	0	0	0	0	130	0	0	0	1	0	0	0	92	0	0	3	0	0	0	79	0	0	0	0	305
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Enterobacterales;Hafniaceae;Hafnia;Hafnia paralvei	0	0	3	0	0	0	224	0	0	0	0	0	0	0	0	66	0	1	0	0	0	1	0	0	295
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Klebsiella;Klebsiella aerogenes	0	3	0	0	0	1	106	5	0	5	0	72	0	0	52	42	0	0	0	0	2	0	0	5	293
